Symbol,Name,Sector
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Technology
2891.TW,CTBC FINANCIAL HOLDINGS COMPANY,Financial Services
2883.TW,CHINA DEVELOPMENT FINANCIAL HLD,Financial Services
2884.TW,E SUN FINANCIAL HOLDINGS,Financial Services
2002.TW,CHINA STEEL CORP,Basic Materials
2885.TW,YUANTA FINANCIAL HOLDING CO. LT,Financial Services
2887.TW,TAISHIN FINANCIAL HLDGS CO LTD,Financial Services
2303.TW,UNITED MICRO ELECTRONICS,Technology
2890.TW,SINOPAC FINANCIAL HLDGS CO LTD,Financial Services
2886.TW,MEGA FINANCIAL HOLDING CO,Financial Services
2317.TW,HON HAI PRECISION INDUSTRY,Technology
2892.TW,FIRST FINANCIAL HOLDING CO LTD,Financial Services
5880.TW,TAIWAN COOPERATIVE FINANCIAL HL,Financial Services
2880.TW,HUA NAN FINANCIAL HOLDINGS CO,Financial Services
2882.TW,CATHAY FINANCIAL HLDG CO,Financial Services
2881.TW,FUBON FINANCIAL HLDG CO LTD,Financial Services
2801.TW,CHANG HWA COMMERCIAL BANK LTD,Financial Services
1101.TW,TAIWAN CEMENT,Basic Materials
1303.TW,NAN YA PLASTIC,Basic Materials
1216.TW,UNI-PRESIDENT ENTERPRISES CORP,Consumer Defensive
2412.TW,CHUNGHWA TELECOM,Communication Services
5876.TW,THE SHANGHAI COMM & SAVINGS BAN,Financial Services
1301.TW,FORMOSA PLASTIC,Basic Materials
1326.TW,FORMOSA CHEMICAL & FIBRE CO,Basic Materials
3711.TW,ASE TECHNOLOGY HOLDING CO LTD,Technology
3231.TW,WISTRON CORPORATION,Technology
2382.TW,QUANTA COMPUTER,Technology
2308.TW,DELTA ELECTRONIC,Technology
2301.TW,LITE-ON TECHNOLOGY CORP,Technology
4938.TW,PEGATRON CORPORATION,Technology
3045.TW,TAIWAN MOBILE CO,Communication Services
4904.TW,FAR EASTONE TELECOMMUNICATIONS,Communication Services
2454.TW,MEDIATEK INC,Technology
6505.TW,FORMOSA PETROCHEMICAL CORPORATI,Energy
3037.TW,UNIMICRON TECHNOLOGY,Technology
2408.TW,NANYA TECHNOLOGY CORPORATION,Technology
2603.TW,EVERGREEN MARINE CORP(TAIWAN),Industrials
5871.TW,CHAILEASE HOLDING COMPANY LIMIT,Financial Services
2357.TW,ASUSTEK COMPUTER INC,Technology
3034.TW,NOVATEK MICROELECTRONICS,Technology
2912.TW,PRESIDENT CHAIN STORE CORP,Consumer Defensive
2345.TW,ACCTON TECHNOLOGY CORP,Technology
2379.TW,REALTEK SEMICONDUCTOR CORP,Technology
2395.TW,ADVANTECH CO LTD,Technology
2327.TW,YAGEO CORP,Technology
2207.TW,HOTAI MOTOR CO,Consumer Cyclical
1590.TW,AIRTAC INTERNATIONAL GROUP,Industrials
3008.TW,LARGAN PRECISION CO,Technology
6669.TW,WIWYNN CORPORATION,Technology
3661.TW,ALCHIP TECHNOLOGIES LIMITD,Technology
